filename,name,type,engine_count,status,confidence,sources_count,estimated_fields_count,warnings,errors
Aeronca_Chief.json,Aeronca Chief,single_engine,1,fail,estimated,1,0,confidence not set (defaults to 'estimated'),vspeeds_published_units: Extra inputs are not permitted
Beechcraft_Sierra.json,Beechcraft Sierra,single_engine,1,fail,estimated,1,0,prop_thrust_decay.T_static_factor=2.6 (placeholder — needs Phase 2 sourcing) | confidence not set (defaults to 'estimated'),vspeeds_published_units: Extra inputs are not permitted
Beechcraft_Sundowner.json,Beechcraft Sundowner,single_engine,1,fail,estimated,1,0,prop_thrust_decay.T_static_factor=2.6 (placeholder — needs Phase 2 sourcing) | confidence not set (defaults to 'estimated'),vspeeds_published_units: Extra inputs are not permitted
Cessna_177.json,Cessna 177,single_engine,1,fail,estimated,1,0,prop_thrust_decay.T_static_factor=2.6 (placeholder — needs Phase 2 sourcing) | confidence not set (defaults to 'estimated'),vspeeds_published_units: Extra inputs are not permitted
Cessna_177RG.json,Cessna 177RG,single_engine,1,fail,estimated,1,0,prop_thrust_decay.T_static_factor=2.6 (placeholder — needs Phase 2 sourcing) | confidence not set (defaults to 'estimated'),vspeeds_published_units: Extra inputs are not permitted
Ercoupe_415C.json,Ercoupe 415C,single_engine,1,fail,estimated,1,0,prop_thrust_decay.T_static_factor=2.6 (placeholder — needs Phase 2 sourcing) | confidence not set (defaults to 'estimated'),vspeeds_published_units: Extra inputs are not permitted
Focke-Wulf_FW_190_A-8.json,Focke-Wulf Fw 190 A-8,single_engine,1,fail,estimated,1,0,prop_thrust_decay.T_static_factor=2.6 (placeholder — needs Phase 2 sourcing) | confidence not set (defaults to 'estimated'),vspeeds_published_units: Extra inputs are not permitted
Grumman_F6F-5_Hellcat.json,Grumman F6F-5 Hellcat,single_engine,1,fail,estimated,1,0,confidence not set (defaults to 'estimated'),vspeeds_published_units: Extra inputs are not permitted
Grumman_F8F-2_Bearcat.json,Grumman F8F-2 Bearcat,single_engine,1,fail,estimated,1,0,prop_thrust_decay.T_static_factor=2.6 (placeholder — needs Phase 2 sourcing) | confidence not set (defaults to 'estimated'),vspeeds_published_units: Extra inputs are not permitted
Kawanishi_N1K2-J_Shiden-Kai.json,Kawanishi N1K2-J Shiden-Kai,single_engine,1,fail,estimated,1,0,confidence not set (defaults to 'estimated'),vspeeds_published_units: Extra inputs are not permitted
